START|groomer:hi your nice looking girl
victim:like i cant wait till we get moved cause then we dont gotta stay with my lil cousins no more n next week they r goin on a father son camp out so i cant wait till they all go;;groomer:lol;;groomer:can i ask where your mom and dad are;;victim:idk;;victim:they left me with my granpa long time ago;;groomer:oh;;groomer:i bet when u start school there going to be a lot of boys that like you;;victim:kool;;victim:all the guys at my other school were dorks;;groomer:lol|groomer:y that
groomer:can i ask where your mom and dad are;;victim:idk;;victim:they left me with my granpa long time ago;;groomer:oh;;groomer:i bet when u start school there going to be a lot of boys that like you;;victim:kool;;victim:all the guys at my other school were dorks;;groomer:lol;;groomer:y that;;victim:idk they just was|groomer:k
victim:idk;;victim:they left me with my granpa long time ago;;groomer:oh;;groomer:i bet when u start school there going to be a lot of boys that like you;;victim:kool;;victim:all the guys at my other school were dorks;;groomer:lol;;groomer:y that;;victim:idk they just was;;groomer:k|groomer:what grade u going into
groomer:oh;;groomer:i bet when u start school there going to be a lot of boys that like you;;victim:kool;;victim:all the guys at my other school were dorks;;groomer:lol;;groomer:y that;;victim:idk they just was;;groomer:k;;groomer:what grade u going into;;victim:8|groomer:nice
groomer:i bet when u start school there going to be a lot of boys that like you;;victim:kool;;victim:all the guys at my other school were dorks;;groomer:lol;;groomer:y that;;victim:idk they just was;;groomer:k;;groomer:what grade u going into;;victim:8;;groomer:nice|groomer:u going live in citdy of county
groomer:lol;;groomer:y that;;victim:idk they just was;;groomer:k;;groomer:what grade u going into;;victim:8;;groomer:nice;;groomer:u going live in citdy of county;;victim:idk ;;victim:se mi|groomer:near detroit then
victim:idk they just was;;groomer:k;;groomer:what grade u going into;;victim:8;;groomer:nice;;groomer:u going live in citdy of county;;victim:idk ;;victim:se mi;;groomer:near detroit then;;victim:sorta i guess |groomer:k
groomer:what grade u going into;;victim:8;;groomer:nice;;groomer:u going live in citdy of county;;victim:idk ;;victim:se mi;;groomer:near detroit then;;victim:sorta i guess ;;groomer:k;;victim:where do u live?|groomer:north mi
groomer:nice;;groomer:u going live in citdy of county;;victim:idk ;;victim:se mi;;groomer:near detroit then;;victim:sorta i guess ;;groomer:k;;victim:where do u live?;;groomer:north mi;;victim:i donno where stuff is yet|groomer:4 hours from you if near detroit
victim:idk ;;victim:se mi;;groomer:near detroit then;;victim:sorta i guess ;;groomer:k;;victim:where do u live?;;groomer:north mi;;victim:i donno where stuff is yet;;groomer:4 hours from you if near detroit;;victim:thats far|groomer:yes
victim:se mi;;groomer:near detroit then;;victim:sorta i guess ;;groomer:k;;victim:where do u live?;;groomer:north mi;;victim:i donno where stuff is yet;;groomer:4 hours from you if near detroit;;victim:thats far;;groomer:yes|groomer:what you doing
victim:sorta i guess ;;groomer:k;;victim:where do u live?;;groomer:north mi;;victim:i donno where stuff is yet;;groomer:4 hours from you if near detroit;;victim:thats far;;groomer:yes;;groomer:what you doing;;victim:my stupid computers locking up on me|groomer:oh
victim:where do u live?;;groomer:north mi;;victim:i donno where stuff is yet;;groomer:4 hours from you if near detroit;;victim:thats far;;groomer:yes;;groomer:what you doing;;victim:my stupid computers locking up on me;;groomer:oh;;victim:does urs ever do that?|groomer:some times
groomer:north mi;;victim:i donno where stuff is yet;;groomer:4 hours from you if near detroit;;victim:thats far;;groomer:yes;;groomer:what you doing;;victim:my stupid computers locking up on me;;groomer:oh;;victim:does urs ever do that?;;groomer:some times|groomer:my son fixes it when it does
groomer:4 hours from you if near detroit;;victim:thats far;;groomer:yes;;groomer:what you doing;;victim:my stupid computers locking up on me;;groomer:oh;;victim:does urs ever do that?;;groomer:some times;;groomer:my son fixes it when it does;;victim:i dont got ne body that knows how 2 fix mine|groomer:oh
groomer:what you doing;;victim:my stupid computers locking up on me;;groomer:oh;;victim:does urs ever do that?;;groomer:some times;;groomer:my son fixes it when it does;;victim:i dont got ne body that knows how 2 fix mine;;groomer:oh;;victim:we r gonna go get ice cream;;victim:ttyl|groomer:ok lick it for me too by by
groomer:oh;;victim:does urs ever do that?;;groomer:some times;;groomer:my son fixes it when it does;;victim:i dont got ne body that knows how 2 fix mine;;groomer:oh;;victim:we r gonna go get ice cream;;victim:ttyl;;groomer:ok lick it for me too by by;;victim:BOO|groomer:lol
groomer:some times;;groomer:my son fixes it when it does;;victim:i dont got ne body that knows how 2 fix mine;;groomer:oh;;victim:we r gonna go get ice cream;;victim:ttyl;;groomer:ok lick it for me too by by;;victim:BOO;;groomer:lol;;victim:what ya doin?|groomer:in chat rooms
groomer:my son fixes it when it does;;victim:i dont got ne body that knows how 2 fix mine;;groomer:oh;;victim:we r gonna go get ice cream;;victim:ttyl;;groomer:ok lick it for me too by by;;victim:BOO;;groomer:lol;;victim:what ya doin?;;groomer:in chat rooms|groomer:what u doing
victim:we r gonna go get ice cream;;victim:ttyl;;groomer:ok lick it for me too by by;;victim:BOO;;groomer:lol;;victim:what ya doin?;;groomer:in chat rooms;;groomer:what u doing;;victim:nothin;;victim:i stayed at my uncles house 2 day cause i didnt feel good|groomer:oh sorry to hear that
victim:ttyl;;groomer:ok lick it for me too by by;;victim:BOO;;groomer:lol;;victim:what ya doin?;;groomer:in chat rooms;;groomer:what u doing;;victim:nothin;;victim:i stayed at my uncles house 2 day cause i didnt feel good;;groomer:oh sorry to hear that|groomer:hope u get better soon
victim:BOO;;groomer:lol;;victim:what ya doin?;;groomer:in chat rooms;;groomer:what u doing;;victim:nothin;;victim:i stayed at my uncles house 2 day cause i didnt feel good;;groomer:oh sorry to hear that;;groomer:hope u get better soon;;victim:i didnt have 2 go help paint n stuff 2 day|groomer:oh did u want to go?
victim:what ya doin?;;groomer:in chat rooms;;groomer:what u doing;;victim:nothin;;victim:i stayed at my uncles house 2 day cause i didnt feel good;;groomer:oh sorry to hear that;;groomer:hope u get better soon;;victim:i didnt have 2 go help paint n stuff 2 day;;groomer:oh did u want to go?;;victim:kinda bored paintin all day|groomer:yes it is
groomer:in chat rooms;;groomer:what u doing;;victim:nothin;;victim:i stayed at my uncles house 2 day cause i didnt feel good;;groomer:oh sorry to hear that;;groomer:hope u get better soon;;victim:i didnt have 2 go help paint n stuff 2 day;;groomer:oh did u want to go?;;victim:kinda bored paintin all day;;groomer:yes it is|groomer:u to sexy to paint all day
victim:i stayed at my uncles house 2 day cause i didnt feel good;;groomer:oh sorry to hear that;;groomer:hope u get better soon;;victim:i didnt have 2 go help paint n stuff 2 day;;groomer:oh did u want to go?;;victim:kinda bored paintin all day;;groomer:yes it is;;groomer:u to sexy to paint all day;;victim:lol;;victim:thanks|groomer:your welcum
groomer:oh sorry to hear that;;groomer:hope u get better soon;;victim:i didnt have 2 go help paint n stuff 2 day;;groomer:oh did u want to go?;;victim:kinda bored paintin all day;;groomer:yes it is;;groomer:u to sexy to paint all day;;victim:lol;;victim:thanks;;groomer:your welcum|groomer:do u have a lot of friend here on line?
victim:i didnt have 2 go help paint n stuff 2 day;;groomer:oh did u want to go?;;victim:kinda bored paintin all day;;groomer:yes it is;;groomer:u to sexy to paint all day;;victim:lol;;victim:thanks;;groomer:your welcum;;groomer:do u have a lot of friend here on line?;;victim:my granpas got somebody 2 go 2 our new house 2 make us be able 2 get internet there|groomer:cool
groomer:u to sexy to paint all day;;victim:lol;;victim:thanks;;groomer:your welcum;;groomer:do u have a lot of friend here on line?;;victim:my granpas got somebody 2 go 2 our new house 2 make us be able 2 get internet there;;groomer:cool;;victim:then i can take my lap top there 2;;victim:all my friends on here r in indiana ;;victim:cept u|groomer:oh ok
victim:lol;;victim:thanks;;groomer:your welcum;;groomer:do u have a lot of friend here on line?;;victim:my granpas got somebody 2 go 2 our new house 2 make us be able 2 get internet there;;groomer:cool;;victim:then i can take my lap top there 2;;victim:all my friends on here r in indiana ;;victim:cept u;;groomer:oh ok|groomer:so u like talking to older men then?
groomer:do u have a lot of friend here on line?;;victim:my granpas got somebody 2 go 2 our new house 2 make us be able 2 get internet there;;groomer:cool;;victim:then i can take my lap top there 2;;victim:all my friends on here r in indiana ;;victim:cept u;;groomer:oh ok;;groomer:so u like talking to older men then?;;victim:is kool;;victim:i like u|groomer:thanks i like u too
victim:my granpas got somebody 2 go 2 our new house 2 make us be able 2 get internet there;;groomer:cool;;victim:then i can take my lap top there 2;;victim:all my friends on here r in indiana ;;victim:cept u;;groomer:oh ok;;groomer:so u like talking to older men then?;;victim:is kool;;victim:i like u;;groomer:thanks i like u too|groomer:u there alone?
victim:cept u;;groomer:oh ok;;groomer:so u like talking to older men then?;;victim:is kool;;victim:i like u;;groomer:thanks i like u too;;groomer:u there alone?;;victim:ya;;victim:cept my lil cousin;;victim:hes takin his nap|groomer:ok cool
groomer:oh ok;;groomer:so u like talking to older men then?;;victim:is kool;;victim:i like u;;groomer:thanks i like u too;;groomer:u there alone?;;victim:ya;;victim:cept my lil cousin;;victim:hes takin his nap;;groomer:ok cool|groomer:so what u like to talk about
victim:i like u;;groomer:thanks i like u too;;groomer:u there alone?;;victim:ya;;victim:cept my lil cousin;;victim:hes takin his nap;;groomer:ok cool;;groomer:so what u like to talk about;;victim:idk;;victim:what beach r u on in that lil pic?|groomer:sex??? lol (We know what he wants to talk about.)
groomer:thanks i like u too;;groomer:u there alone?;;victim:ya;;victim:cept my lil cousin;;victim:hes takin his nap;;groomer:ok cool;;groomer:so what u like to talk about;;victim:idk;;victim:what beach r u on in that lil pic?;;groomer:sex??? lol (We know what he wants to talk about.)|groomer:myrtle beach sc
victim:cept my lil cousin;;victim:hes takin his nap;;groomer:ok cool;;groomer:so what u like to talk about;;victim:idk;;victim:what beach r u on in that lil pic?;;groomer:sex??? lol (We know what he wants to talk about.);;groomer:myrtle beach sc;;victim:lol;;victim:kool|groomer:have u kiss a boy yet
groomer:ok cool;;groomer:so what u like to talk about;;victim:idk;;victim:what beach r u on in that lil pic?;;groomer:sex??? lol (We know what he wants to talk about.);;groomer:myrtle beach sc;;victim:lol;;victim:kool;;groomer:have u kiss a boy yet;;victim:ya|groomer:kool
victim:idk;;victim:what beach r u on in that lil pic?;;groomer:sex??? lol (We know what he wants to talk about.);;groomer:myrtle beach sc;;victim:lol;;victim:kool;;groomer:have u kiss a boy yet;;victim:ya;;groomer:kool;;victim:i have couple x bfs but they r in indiana|groomer:oic
groomer:sex??? lol (We know what he wants to talk about.);;groomer:myrtle beach sc;;victim:lol;;victim:kool;;groomer:have u kiss a boy yet;;victim:ya;;groomer:kool;;victim:i have couple x bfs but they r in indiana;;groomer:oic;;victim:i miss my friends there|groomer:they try any thing else with you?
groomer:myrtle beach sc;;victim:lol;;victim:kool;;groomer:have u kiss a boy yet;;victim:ya;;groomer:kool;;victim:i have couple x bfs but they r in indiana;;groomer:oic;;victim:i miss my friends there;;groomer:they try any thing else with you?|groomer:i bet u do
victim:kool;;groomer:have u kiss a boy yet;;victim:ya;;groomer:kool;;victim:i have couple x bfs but they r in indiana;;groomer:oic;;victim:i miss my friends there;;groomer:they try any thing else with you?;;groomer:i bet u do;;victim:wht u mean?|groomer:touch your tits
victim:ya;;groomer:kool;;victim:i have couple x bfs but they r in indiana;;groomer:oic;;victim:i miss my friends there;;groomer:they try any thing else with you?;;groomer:i bet u do;;victim:wht u mean?;;groomer:touch your tits;;victim:like he didnt do that|groomer:oh ok
victim:i have couple x bfs but they r in indiana;;groomer:oic;;victim:i miss my friends there;;groomer:they try any thing else with you?;;groomer:i bet u do;;victim:wht u mean?;;groomer:touch your tits;;victim:like he didnt do that;;groomer:oh ok;;victim:what ya doin?|groomer:just seting here
groomer:oic;;victim:i miss my friends there;;groomer:they try any thing else with you?;;groomer:i bet u do;;victim:wht u mean?;;groomer:touch your tits;;victim:like he didnt do that;;groomer:oh ok;;victim:what ya doin?;;groomer:just seting here|groomer:i wish i nad gr dau to do thing with iam bored:(( (I hope he never gets near any grandchildren.)
victim:wht u mean?;;groomer:touch your tits;;victim:like he didnt do that;;groomer:oh ok;;victim:what ya doin?;;groomer:just seting here;;groomer:i wish i nad gr dau to do thing with iam bored:(( (I hope he never gets near any grandchildren.);;victim:awww;;victim:&gt;:D&lt;;;victim:what would u wanna do?|groomer:go park swiming beach
groomer:oh ok;;victim:what ya doin?;;groomer:just seting here;;groomer:i wish i nad gr dau to do thing with iam bored:(( (I hope he never gets near any grandchildren.);;victim:awww;;victim:&gt;:D&lt;;;victim:what would u wanna do?;;groomer:go park swiming beach;;victim:kool;;victim:that would b so fun|groomer:yes it woulded
groomer:just seting here;;groomer:i wish i nad gr dau to do thing with iam bored:(( (I hope he never gets near any grandchildren.);;victim:awww;;victim:&gt;:D&lt;;;victim:what would u wanna do?;;groomer:go park swiming beach;;victim:kool;;victim:that would b so fun;;groomer:yes it woulded;;victim:wheres ur fav place 2 go?|groomer:myrtle beach
groomer:i wish i nad gr dau to do thing with iam bored:(( (I hope he never gets near any grandchildren.);;victim:awww;;victim:&gt;:D&lt;;;victim:what would u wanna do?;;groomer:go park swiming beach;;victim:kool;;victim:that would b so fun;;groomer:yes it woulded;;victim:wheres ur fav place 2 go?;;groomer:myrtle beach|groomer:in mi clear lake
victim:what would u wanna do?;;groomer:go park swiming beach;;victim:kool;;victim:that would b so fun;;groomer:yes it woulded;;victim:wheres ur fav place 2 go?;;groomer:myrtle beach;;groomer:in mi clear lake;;victim:kool;;victim:can u camp out there n stuff?|groomer:yes
victim:kool;;victim:that would b so fun;;groomer:yes it woulded;;victim:wheres ur fav place 2 go?;;groomer:myrtle beach;;groomer:in mi clear lake;;victim:kool;;victim:can u camp out there n stuff?;;groomer:yes;;victim:kool|groomer:i have boom fires all the time at my house
victim:wheres ur fav place 2 go?;;groomer:myrtle beach;;groomer:in mi clear lake;;victim:kool;;victim:can u camp out there n stuff?;;groomer:yes;;victim:kool;;groomer:i have boom fires all the time at my house;;victim:kool;;victim:what do u do at them?|groomer:roast machmloows
victim:kool;;victim:can u camp out there n stuff?;;groomer:yes;;victim:kool;;groomer:i have boom fires all the time at my house;;victim:kool;;victim:what do u do at them?;;groomer:roast machmloows;;victim:yum;;victim:with chocolate n gram crackers??|groomer:yes
groomer:yes;;victim:kool;;groomer:i have boom fires all the time at my house;;victim:kool;;victim:what do u do at them?;;groomer:roast machmloows;;victim:yum;;victim:with chocolate n gram crackers??;;groomer:yes;;victim:i love those|groomer:me too
victim:kool;;groomer:i have boom fires all the time at my house;;victim:kool;;victim:what do u do at them?;;groomer:roast machmloows;;victim:yum;;victim:with chocolate n gram crackers??;;groomer:yes;;victim:i love those;;groomer:me too|groomer:if i had gr dau she could near me we tell all kind of stores
victim:what do u do at them?;;groomer:roast machmloows;;victim:yum;;victim:with chocolate n gram crackers??;;groomer:yes;;victim:i love those;;groomer:me too;;groomer:if i had gr dau she could near me we tell all kind of stores;;victim:kool;;victim:what kinda stories do u tell?|groomer:spocky
groomer:roast machmloows;;victim:yum;;victim:with chocolate n gram crackers??;;groomer:yes;;victim:i love those;;groomer:me too;;groomer:if i had gr dau she could near me we tell all kind of stores;;victim:kool;;victim:what kinda stories do u tell?;;groomer:spocky|groomer:when i was your like her
victim:yum;;victim:with chocolate n gram crackers??;;groomer:yes;;victim:i love those;;groomer:me too;;groomer:if i had gr dau she could near me we tell all kind of stores;;victim:kool;;victim:what kinda stories do u tell?;;groomer:spocky;;groomer:when i was your like her|groomer:let her ask about any she want to know
groomer:yes;;victim:i love those;;groomer:me too;;groomer:if i had gr dau she could near me we tell all kind of stores;;victim:kool;;victim:what kinda stories do u tell?;;groomer:spocky;;groomer:when i was your like her;;groomer:let her ask about any she want to know;;victim:kool|groomer:i woulded hided any thing from her
groomer:me too;;groomer:if i had gr dau she could near me we tell all kind of stores;;victim:kool;;victim:what kinda stories do u tell?;;groomer:spocky;;groomer:when i was your like her;;groomer:let her ask about any she want to know;;victim:kool;;groomer:i woulded hided any thing from her;;victim:what do u mean?|groomer:iif she has ? about any thing in her life
victim:what kinda stories do u tell?;;groomer:spocky;;groomer:when i was your like her;;groomer:let her ask about any she want to know;;victim:kool;;groomer:i woulded hided any thing from her;;victim:what do u mean?;;groomer:iif she has ? about any thing in her life;;victim:kk;;victim:like what?|groomer:bird ans bees just any thing
groomer:spocky;;groomer:when i was your like her;;groomer:let her ask about any she want to know;;victim:kool;;groomer:i woulded hided any thing from her;;victim:what do u mean?;;groomer:iif she has ? about any thing in her life;;victim:kk;;victim:like what?;;groomer:bird ans bees just any thing|groomer:and
groomer:let her ask about any she want to know;;victim:kool;;groomer:i woulded hided any thing from her;;victim:what do u mean?;;groomer:iif she has ? about any thing in her life;;victim:kk;;victim:like what?;;groomer:bird ans bees just any thing;;groomer:and;;victim:kool|groomer:i think it would be
victim:kool;;groomer:i woulded hided any thing from her;;victim:what do u mean?;;groomer:iif she has ? about any thing in her life;;victim:kk;;victim:like what?;;groomer:bird ans bees just any thing;;groomer:and;;victim:kool;;groomer:i think it would be|groomer:kool
groomer:iif she has ? about any thing in her life;;victim:kk;;victim:like what?;;groomer:bird ans bees just any thing;;groomer:and;;victim:kool;;groomer:i think it would be;;groomer:kool;;victim:ya;;victim:me 2|groomer:so if you want to know any thing ask any time we chat
victim:like what?;;groomer:bird ans bees just any thing;;groomer:and;;victim:kool;;groomer:i think it would be;;groomer:kool;;victim:ya;;victim:me 2;;groomer:so if you want to know any thing ask any time we chat;;victim:ok|groomer:brb have to staret dinner
groomer:and;;victim:kool;;groomer:i think it would be;;groomer:kool;;victim:ya;;victim:me 2;;groomer:so if you want to know any thing ask any time we chat;;victim:ok;;groomer:brb have to staret dinner;;victim:kk|groomer:back
victim:kool;;groomer:i think it would be;;groomer:kool;;victim:ya;;victim:me 2;;groomer:so if you want to know any thing ask any time we chat;;victim:ok;;groomer:brb have to staret dinner;;victim:kk;;groomer:back|groomer:miiss me?
victim:ya;;victim:me 2;;groomer:so if you want to know any thing ask any time we chat;;victim:ok;;groomer:brb have to staret dinner;;victim:kk;;groomer:back;;groomer:miiss me?;;victim:ya;;victim:what did u cook|groomer:pork chops 
victim:me 2;;groomer:so if you want to know any thing ask any time we chat;;victim:ok;;groomer:brb have to staret dinner;;victim:kk;;groomer:back;;groomer:miiss me?;;victim:ya;;victim:what did u cook;;groomer:pork chops |groomer:chesse potatoes
groomer:so if you want to know any thing ask any time we chat;;victim:ok;;groomer:brb have to staret dinner;;victim:kk;;groomer:back;;groomer:miiss me?;;victim:ya;;victim:what did u cook;;groomer:pork chops ;;groomer:chesse potatoes|groomer:green beans
victim:kk;;groomer:back;;groomer:miiss me?;;victim:ya;;victim:what did u cook;;groomer:pork chops ;;groomer:chesse potatoes;;groomer:green beans;;victim:yum;;victim:do u like 2 cook?|groomer:yes
victim:what did u cook;;groomer:pork chops ;;groomer:chesse potatoes;;groomer:green beans;;victim:yum;;victim:do u like 2 cook?;;groomer:yes;;victim:kool;;victim:i dont cook so good;;victim:i like 2 make cookies|groomer:u will learn
groomer:chesse potatoes;;groomer:green beans;;victim:yum;;victim:do u like 2 cook?;;groomer:yes;;victim:kool;;victim:i dont cook so good;;victim:i like 2 make cookies;;groomer:u will learn;;victim:whats ur fav kinda cookies?|groomer:betbutter
groomer:green beans;;victim:yum;;victim:do u like 2 cook?;;groomer:yes;;victim:kool;;victim:i dont cook so good;;victim:i like 2 make cookies;;groomer:u will learn;;victim:whats ur fav kinda cookies?;;groomer:betbutter|groomer:pentnot butter
groomer:yes;;victim:kool;;victim:i dont cook so good;;victim:i like 2 make cookies;;groomer:u will learn;;victim:whats ur fav kinda cookies?;;groomer:betbutter;;groomer:pentnot butter;;victim:oh kool;;victim:i like choc chip|groomer:there good too
victim:i dont cook so good;;victim:i like 2 make cookies;;groomer:u will learn;;victim:whats ur fav kinda cookies?;;groomer:betbutter;;groomer:pentnot butter;;victim:oh kool;;victim:i like choc chip;;groomer:there good too;;victim:i make pb cookies sometimes 2|groomer:ok kool
groomer:u will learn;;victim:whats ur fav kinda cookies?;;groomer:betbutter;;groomer:pentnot butter;;victim:oh kool;;victim:i like choc chip;;groomer:there good too;;victim:i make pb cookies sometimes 2;;groomer:ok kool;;victim:my granma showed me how 2 make cookies|groomer:that kool
groomer:pentnot butter;;victim:oh kool;;victim:i like choc chip;;groomer:there good too;;victim:i make pb cookies sometimes 2;;groomer:ok kool;;victim:my granma showed me how 2 make cookies;;groomer:that kool;;victim:my cousins wakin up;;victim:brb|groomer:ok
victim:i like choc chip;;groomer:there good too;;victim:i make pb cookies sometimes 2;;groomer:ok kool;;victim:my granma showed me how 2 make cookies;;groomer:that kool;;victim:my cousins wakin up;;victim:brb;;groomer:ok;;victim:im back|groomer:wel back
victim:i make pb cookies sometimes 2;;groomer:ok kool;;victim:my granma showed me how 2 make cookies;;groomer:that kool;;victim:my cousins wakin up;;victim:brb;;groomer:ok;;victim:im back;;groomer:wel back;;victim:did u eat ur supper yet?|groomer:no
groomer:ok kool;;victim:my granma showed me how 2 make cookies;;groomer:that kool;;victim:my cousins wakin up;;victim:brb;;groomer:ok;;victim:im back;;groomer:wel back;;victim:did u eat ur supper yet?;;groomer:no|groomer:15 ill eat
groomer:that kool;;victim:my cousins wakin up;;victim:brb;;groomer:ok;;victim:im back;;groomer:wel back;;victim:did u eat ur supper yet?;;groomer:no;;groomer:15 ill eat;;victim:kk|groomer:u eat yet
groomer:ok;;victim:im back;;groomer:wel back;;victim:did u eat ur supper yet?;;groomer:no;;groomer:15 ill eat;;victim:kk;;groomer:u eat yet;;victim:nope;;victim:granpa is gonna bring something home for us|groomer:i frozze up
groomer:wel back;;victim:did u eat ur supper yet?;;groomer:no;;groomer:15 ill eat;;victim:kk;;groomer:u eat yet;;victim:nope;;victim:granpa is gonna bring something home for us;;groomer:i frozze up;;victim:awww r u cold? LOL|groomer:compurer frozze
groomer:15 ill eat;;victim:kk;;groomer:u eat yet;;victim:nope;;victim:granpa is gonna bring something home for us;;groomer:i frozze up;;victim:awww r u cold? LOL;;groomer:compurer frozze;;victim:i know;;victim:i hate that when it does taht 2 me 2|groomer:lol
groomer:u eat yet;;victim:nope;;victim:granpa is gonna bring something home for us;;groomer:i frozze up;;victim:awww r u cold? LOL;;groomer:compurer frozze;;victim:i know;;victim:i hate that when it does taht 2 me 2;;groomer:lol;;victim:give ur computer a blankie|groomer:lol u funny
groomer:i frozze up;;victim:awww r u cold? LOL;;groomer:compurer frozze;;victim:i know;;victim:i hate that when it does taht 2 me 2;;groomer:lol;;victim:give ur computer a blankie;;groomer:lol u funny;;victim:lol;;victim:hi|groomer:hi
groomer:compurer frozze;;victim:i know;;victim:i hate that when it does taht 2 me 2;;groomer:lol;;victim:give ur computer a blankie;;groomer:lol u funny;;victim:lol;;victim:hi;;groomer:hi;;victim:we r gonna b movin in2 our house|groomer:how was your day
victim:i know;;victim:i hate that when it does taht 2 me 2;;groomer:lol;;victim:give ur computer a blankie;;groomer:lol u funny;;victim:lol;;victim:hi;;groomer:hi;;victim:we r gonna b movin in2 our house;;groomer:how was your day|groomer:oh kool
victim:give ur computer a blankie;;groomer:lol u funny;;victim:lol;;victim:hi;;groomer:hi;;victim:we r gonna b movin in2 our house;;groomer:how was your day;;groomer:oh kool;;victim:was ok;;victim:we r done paintin|groomer:good
victim:lol;;victim:hi;;groomer:hi;;victim:we r gonna b movin in2 our house;;groomer:how was your day;;groomer:oh kool;;victim:was ok;;victim:we r done paintin;;groomer:good;;victim:what did u do 2 day?|groomer:work till 9 pm
groomer:hi;;victim:we r gonna b movin in2 our house;;groomer:how was your day;;groomer:oh kool;;victim:was ok;;victim:we r done paintin;;groomer:good;;victim:what did u do 2 day?;;groomer:work till 9 pm;;victim:what kinda work do u do?|groomer:food store
victim:we r gonna b movin in2 our house;;groomer:how was your day;;groomer:oh kool;;victim:was ok;;victim:we r done paintin;;groomer:good;;victim:what did u do 2 day?;;groomer:work till 9 pm;;victim:what kinda work do u do?;;groomer:food store|groomer:in deli
groomer:oh kool;;victim:was ok;;victim:we r done paintin;;groomer:good;;victim:what did u do 2 day?;;groomer:work till 9 pm;;victim:what kinda work do u do?;;groomer:food store;;groomer:in deli;;victim:u gotta work lots|groomer:oh doing what
victim:we r done paintin;;groomer:good;;victim:what did u do 2 day?;;groomer:work till 9 pm;;victim:what kinda work do u do?;;groomer:food store;;groomer:in deli;;victim:u gotta work lots;;groomer:oh doing what;;victim:u just said u worked in a store|groomer:oh sorry 
groomer:good;;victim:what did u do 2 day?;;groomer:work till 9 pm;;victim:what kinda work do u do?;;groomer:food store;;groomer:in deli;;victim:u gotta work lots;;groomer:oh doing what;;victim:u just said u worked in a store;;groomer:oh sorry |groomer:i just work 3 days a week
victim:what kinda work do u do?;;groomer:food store;;groomer:in deli;;victim:u gotta work lots;;groomer:oh doing what;;victim:u just said u worked in a store;;groomer:oh sorry ;;groomer:i just work 3 days a week;;victim:ohh ;;victim:guess i just keep askin on days u work!|groomer:guess so
groomer:food store;;groomer:in deli;;victim:u gotta work lots;;groomer:oh doing what;;victim:u just said u worked in a store;;groomer:oh sorry ;;groomer:i just work 3 days a week;;victim:ohh ;;victim:guess i just keep askin on days u work!;;groomer:guess so|groomer:i dont work till next wed now
groomer:oh doing what;;victim:u just said u worked in a store;;groomer:oh sorry ;;groomer:i just work 3 days a week;;victim:ohh ;;victim:guess i just keep askin on days u work!;;groomer:guess so;;groomer:i dont work till next wed now;;victim:thats kool;;victim:what r u gonna do on the weekend?|groomer:going tomorrow to get a gort
victim:u just said u worked in a store;;groomer:oh sorry ;;groomer:i just work 3 days a week;;victim:ohh ;;victim:guess i just keep askin on days u work!;;groomer:guess so;;groomer:i dont work till next wed now;;victim:thats kool;;victim:what r u gonna do on the weekend?;;groomer:going tomorrow to get a gort|groomer:goat
victim:ohh ;;victim:guess i just keep askin on days u work!;;groomer:guess so;;groomer:i dont work till next wed now;;victim:thats kool;;victim:what r u gonna do on the weekend?;;groomer:going tomorrow to get a gort;;groomer:goat;;victim:really?;;victim:kool|groomer:yes
groomer:guess so;;groomer:i dont work till next wed now;;victim:thats kool;;victim:what r u gonna do on the weekend?;;groomer:going tomorrow to get a gort;;groomer:goat;;victim:really?;;victim:kool;;groomer:yes;;victim:what ya gonna do with it?|groomer:it a pet
victim:what r u gonna do on the weekend?;;groomer:going tomorrow to get a gort;;groomer:goat;;victim:really?;;victim:kool;;groomer:yes;;victim:what ya gonna do with it?;;groomer:it a pet;;victim:awww ;;victim:thats tight|groomer:it a male
groomer:goat;;victim:really?;;victim:kool;;groomer:yes;;victim:what ya gonna do with it?;;groomer:it a pet;;victim:awww ;;victim:thats tight;;groomer:it a male;;victim:do u got a name yet?|groomer:i think iam going to get a female too soon
victim:kool;;groomer:yes;;victim:what ya gonna do with it?;;groomer:it a pet;;victim:awww ;;victim:thats tight;;groomer:it a male;;victim:do u got a name yet?;;groomer:i think iam going to get a female too soon;;victim:is it gonna live outside?|groomer:then have goat milk
groomer:yes;;victim:what ya gonna do with it?;;groomer:it a pet;;victim:awww ;;victim:thats tight;;groomer:it a male;;victim:do u got a name yet?;;groomer:i think iam going to get a female too soon;;victim:is it gonna live outside?;;groomer:then have goat milk|groomer:yes out side
groomer:it a pet;;victim:awww ;;victim:thats tight;;groomer:it a male;;victim:do u got a name yet?;;groomer:i think iam going to get a female too soon;;victim:is it gonna live outside?;;groomer:then have goat milk;;groomer:yes out side;;victim:is goat milk good?|groomer:yes
victim:thats tight;;groomer:it a male;;victim:do u got a name yet?;;groomer:i think iam going to get a female too soon;;victim:is it gonna live outside?;;groomer:then have goat milk;;groomer:yes out side;;victim:is goat milk good?;;groomer:yes;;victim:what ya doin?|groomer:in chat rooms
victim:do u got a name yet?;;groomer:i think iam going to get a female too soon;;victim:is it gonna live outside?;;groomer:then have goat milk;;groomer:yes out side;;victim:is goat milk good?;;groomer:yes;;victim:what ya doin?;;groomer:in chat rooms;;victim:findin lots of people 2 chat with?|groomer:no just young girl want to know if i have cam
